,CensusTractNumber,White (% of total population),Married With Children (% of households),Nonfamily Households with Children Under 18 (% of all households),Median Household Income ($),Completed High School or High School and Some College (% of adults 25+),Unemployed (% ages 16 and older),Housing Units Occupied by Renters (%),U.S.-Born (% of total population),Elderly Population (% 65+)
82,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
83,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
84,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
85,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
86,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
87,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
88,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
89,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
90,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
91,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
92,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
93,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
94,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
95,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
96,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
97,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
98,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
99,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
100,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
101,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
102,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
103,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
104,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
105,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
106,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
107,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
108,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
109,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
110,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
111,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
112,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
113,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
114,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
115,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
116,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
117,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
118,36005002300.0,0.232410733,3.985872856,0.504540868,17426.0,57.36710667,7.755549466,99.59636731,83.37206846,13.31079653
